Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
758,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FV,0,,2.5,4,5,0,4,5,5,2.5,0.5,0.434,0.512,0.715,-0.97,1.84,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Acropora,microphthalma,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
759,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FV,0,,5.6,4,5,0,4,5,5,5.6,1.12,0.973,0.559,0.748,-0.49,2.44,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Acropora,microphthalma,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
760,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FV,0,,5.5,4,5,0,4,5,5,5.5,1.1,0.955,0.557,0.746,-0.51,2.42,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Acropora,microphthalma,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
761,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
762,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,8.1,4,9.2,0,4,5,7.4,8.1,1.094,0.95,0.556,0.746,-0.51,2.41,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
763,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,7.8,4,10.8,0,4,5,8.42,7.8,0.927,0.805,0.541,0.735,-0.64,2.25,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
764,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,72.2,4,5,0,4,5,5,72.2,14.44,12.543,10.332,3.214,6.24,18.84,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
765,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
766,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
767,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
768,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FW,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Lobophyllia,hemprichii,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
769,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
770,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,9,4,16.5,0,4,5,12.19,9,0.738,0.641,0.526,0.725,-0.78,2.06,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
771,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,21.4,4,16.5,0,4,5,12.19,21.4,1.755,1.525,0.645,0.803,-0.05,3.1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
772,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,19.9,4,18.7,0,4,5,13.69,19.9,1.454,1.263,0.6,0.774,-0.25,2.78,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
773,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,21.6,4,16,0,4,5,11.85,21.6,1.822,1.583,0.657,0.81,-0.01,3.17,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
774,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,20.6,4,16.6,0,4,5,12.26,20.6,1.68,1.46,0.633,0.796,-0.1,3.02,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
775,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,20.7,4,16.1,0,4,5,11.92,20.7,1.736,1.508,0.642,0.801,-0.06,3.08,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
776,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FX,0,,20.3,4,16,0,4,5,11.85,20.3,1.713,1.488,0.638,0.799,-0.08,3.05,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,turgescens,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
777,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
778,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
779,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,3.3,4,5,0,4,5,5,3.3,0.66,0.573,0.521,0.721,-0.84,1.99,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
780,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,7.8,4,9.7,0,4,5,7.72,7.8,1.011,0.878,0.548,0.74,-0.57,2.33,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
781,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,34.4,4,11.3,0,4,5,8.74,34.4,3.937,3.42,1.231,1.109,1.25,5.59,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
782,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,76.1,4,13.4,0,4,5,10.11,76.1,7.525,6.536,3.17,1.78,3.05,10.03,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
783,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,83.9,4,11.8,0,4,5,9.06,83.9,9.258,8.042,4.542,2.131,3.86,12.22,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
784,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FY,0,,95.4,4,5,0,4,5,5,95.4,19.08,16.573,17.666,4.203,8.33,24.81,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Oxypora,glabra,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
785,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
786,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,0,4,7.5,0,4,5,6.37,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
787,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,4.8,4,15.1,0,4,5,11.25,4.8,0.427,0.371,0.509,0.713,-1.03,1.77,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
788,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,8.6,4,21.5,0,4,5,15.61,8.6,0.551,0.479,0.514,0.717,-0.93,1.88,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
789,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,49.5,4,31.7,0,4,5,22.69,49.5,2.181,1.895,0.724,0.851,0.23,3.56,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
790,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,60.2,4,5,0,4,5,5,60.2,12.04,10.458,7.336,2.708,5.15,15.77,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
791,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
792,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,FZ,0,,100,4,5,0,4,5,5,100,20,17.372,19.362,4.4,8.75,26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Mycedium,elephantotus,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
793,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
794,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,6,4,5,0,4,5,5,6,1.2,1.042,0.568,0.754,-0.43,2.52,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
795,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,8.4,4,11.6,0,4,5,8.93,8.4,0.94,0.817,0.542,0.736,-0.63,2.26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
796,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,15,4,21.2,0,4,5,15.4,15,0.974,0.846,0.545,0.738,-0.6,2.29,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
797,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,15,4,21.2,0,4,5,15.4,15,0.974,0.846,0.545,0.738,-0.6,2.29,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
798,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,15,4,21.2,0,4,5,15.4,15,0.974,0.846,0.545,0.738,-0.6,2.29,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
799,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,15,4,21.2,0,4,5,15.4,15,0.974,0.846,0.545,0.738,-0.6,2.29,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
800,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GA,0,,15,4,21.2,0,4,5,15.4,15,0.974,0.846,0.545,0.738,-0.6,2.29,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Pavona,decussata,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
801,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
802,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,29.8,4,12.5,0,4,5,9.52,29.8,3.13,2.719,0.962,0.981,0.8,4.64,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
803,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,29.5,4,12.5,0,4,5,9.52,29.5,3.099,2.692,0.953,0.976,0.78,4.6,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
804,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,35.3,4,31.1,0,4,5,22.27,35.3,1.585,1.377,0.618,0.786,-0.16,2.92,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
805,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,35.3,4,31.1,0,4,5,22.27,35.3,1.585,1.377,0.618,0.786,-0.16,2.92,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
806,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,35.3,4,31.1,0,4,5,22.27,35.3,1.585,1.377,0.618,0.786,-0.16,2.92,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
807,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,35.3,4,31.1,0,4,5,22.27,35.3,1.585,1.377,0.618,0.786,-0.16,2.92,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
808,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GB,0,,46.9,4,31.7,0,4,5,22.69,46.9,2.067,1.795,0.701,0.838,0.15,3.44,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Montipora,florida,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
809,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
810,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
811,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
812,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
813,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
814,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 5 of sediment exposure,n/a,,40,5,d,5,200,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
815,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,16.4,4,11.1,0,4,5,8.61,16.4,1.905,1.655,0.671,0.819,0.05,3.26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 6 of sediment exposure,n/a,,40,6,d,6,240,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
816,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GC,0,,16.4,4,11.1,0,4,5,8.61,16.4,1.905,1.655,0.671,0.819,0.05,3.26,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Cyphastrea,microphthalma,adult,Day 7 of sediment exposure,n/a,,40,7,d,7,280,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
817,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GD,2,,0,4,5,0,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Stylophora,pistillata,adult,Day 0 - pre-sediment exposure,n/a,,0,0,d,0,0,,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,,,,,
818,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GD,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Stylophora,pistillata,adult,Day 1 of sediment exposure,n/a,,40,1,d,1,40,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
819,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GD,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Stylophora,pistillata,adult,Day 2 of sediment exposure,n/a,,40,2,d,2,80,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
820,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GD,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Stylophora,pistillata,adult,Day 3 of sediment exposure,n/a,,40,3,d,3,120,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
821,DS08b,Hodgson 1989 PhD Chapter IV - lab,DS,partialmortality,GD,0,,0,4,5,0,4,5,5,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,Pacific,South China Sea,Stylophora,pistillata,adult,Day 4 of sediment exposure,n/a,,40,4,d,4,160,,short,marine,carbonate,2b - fine sand,n/s,2 - fine,,,,,,,,
