Order,Ref,Ref_name,DS_SS,Response,Comparison,Control,Type,Tx_mean,Tx_n,Tx_sd,Cx_mean,Cx_n,Cx_sd,SD_pool,Diff_in_means,ES,Hedges_d,Var_d,SE_d,CI_lo_d,CI_up_d,Tx_percent_dead,Tx_n_total,Tx_n_dead,Cx_percent_dead,Cx_n_total,Cx_n_dead,Tx_percent_dead_adj,Tx_n_total_adj,Tx_n_dead_adj,Cx_percent_dead_adj,Cx_n_total_adj,Cx_n_dead_adj,Tx_prob_mort,Cx_prob_mort,logRR,logRR_var,Observed_O,Expected_O_hat,O_hat_var_diff,logOR,logOR_var,Binary_sed_burial,Binary_regression_design,Binary_binary_data_only,Binary_repeated_measures,Binary_control_in_study,Ocean,Region,Updated_Genus,Updated_species,Coral_age_class,Treatment,Exp_details,Other_conditions,Sed_level_standardized,Sed_exposure,Sed_exposure_UoM,Sed_exposure_days,Sed_exposure_mg_cm2,Sed_exposure_mg_d_L,Sed_duration_class,Sed_source,Sed_mineralogy,Sed_grain_class,Sed_grain_micron,Sed_grain_category,Sed_application,Surface_direction,Surface_direction_deg,Coral_age_at_start_expt_days,Coral_age_at_end_expt_days,Coral_days_old_baseline,Additional_notes,
1241,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,87.7755511,4,4.409,90.2,4,4.4,4.4,-2.42,-0.55,-0.478,0.514,0.717,-1.88,0.93,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"173 mg/L, >3 days, siliciclastic",60 hours,,173,2.5,d,2.5,,432.5,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1242,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,81.3627255,4,5.611,90.2,4,4.4,5.04,-8.84,-1.753,-1.522,0.645,0.803,-3.1,0.05,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"379 mg/L, >3 days, siliciclastic",60 hours,,379,2.5,d,2.5,,947.5,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1243,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KJ,0,,88.9779559,4,4.208,90.2,4,4.4,4.31,-1.22,-0.284,-0.247,0.504,0.71,-1.64,1.14,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"740 mg/L, >3 days, siliciclastic",60 hours,,740,2.5,d,2.5,,1850,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1244,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,1,,90,4,4.4,90,4,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"0 mg/L, >3 days, carbonate",60 hours,,0,2.5,d,2.5,,0,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,3,5.5,fertilization = 0,,
1245,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,95.4049966,4,4.819,90,4,4.4,4.61,5.4,1.171,1.017,0.565,0.751,-0.46,2.49,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"27 mg/L, >3 days,  carbonate",60 hours,,27,2.5,d,2.5,,67.5,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1246,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,97.6346946,4,1.606,90,4,4.4,3.31,7.63,2.305,2.002,0.751,0.866,0.3,3.7,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"34 mg/L, >3 days, carbonate",60 hours,,34,2.5,d,2.5,,85,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1247,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,76.5933865,4,8.432,90,4,4.4,6.73,-13.41,-1.993,-1.731,0.687,0.829,-3.36,-0.11,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"55 mg/L, >3 days,  carbonate",60 hours,,55,2.5,d,2.5,,137.5,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1248,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,86.6804882,4,3.616,90,4,4.4,4.03,-3.32,-0.824,-0.716,0.532,0.729,-2.15,0.71,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"96 mg/L, >3 days,  carbonate",60 hours,,96,2.5,d,2.5,,240,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1249,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,91.3480885,4,4.024,90,4,4.4,4.22,1.35,0.32,0.278,0.505,0.711,-1.11,1.67,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"204 mg/L, >3 days,  carbonate",60 hours,,204,2.5,d,2.5,,510,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1250,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,92.7565392,4,1.207,90,4,4.4,3.23,2.76,0.854,0.742,0.534,0.731,-0.69,2.17,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"400 mg/L, >3 days,  carbonate",60 hours,,400,2.5,d,2.5,,1000,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1251,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KK,0,,92.7565392,4,1.207,90,4,4.4,3.23,2.76,0.854,0.742,0.534,0.731,-0.69,2.17,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,millepora,2 - larva,"800 mg/L, >3 days,  carbonate",60 hours,,800,2.5,d,2.5,,2000,short,marine,carbonate,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1252,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,1,,96.2121212,4,2.462,96.212,4,2.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"0 mg/L, >3 days, siliciclastic",60 hours,,0,2.5,d,2.5,,0,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,3,5.5,fertilization = 0,,
1253,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,96.2121212,4,2.462,96.212,4,2.462,2.46,0,0,0,0.5,0.707,-1.39,1.39,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"12 mg/L, >3 days, siliciclastic",60 hours,,12,2.5,d,2.5,,30,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1254,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,93.1818182,4,1.894,96.212,4,2.462,2.2,-3.03,-1.38,-1.198,0.59,0.768,-2.7,0.31,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"20 mg/L, >3 days, siliciclastic",60 hours,,20,2.5,d,2.5,,50,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1255,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,92.6136364,4,3.03,96.212,4,2.462,2.76,-3.6,-1.303,-1.132,0.58,0.762,-2.62,0.36,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"34 mg/L, >3 days, siliciclastic",60 hours,,34,2.5,d,2.5,,85,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1256,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,84.8484848,4,5.871,96.212,4,2.462,4.5,-11.36,-2.524,-2.193,0.8,0.895,-3.95,-0.44,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"75 mg/L, >3 days, siliciclastic",60 hours,,75,2.5,d,2.5,,187.5,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1257,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,95.0757576,4,2.841,96.212,4,2.462,2.66,-1.14,-0.427,-0.371,0.509,0.713,-1.77,1.03,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"173 mg/L, >3 days, siliciclastic",60 hours,,173,2.5,d,2.5,,432.5,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1258,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,89.9621212,4,2.083,96.212,4,2.462,2.28,-6.25,-2.741,-2.38,0.854,0.924,-4.19,-0.57,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"376 mg/L, >3 days, siliciclastic",60 hours,,376,2.5,d,2.5,,940,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1259,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KL,0,,87.3106061,4,3.409,96.212,4,2.462,2.97,-8.9,-2.994,-2.6,0.923,0.961,-4.48,-0.72,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"746 mg/L, >3 days, siliciclastic",60 hours,,746,2.5,d,2.5,,1865,short,marine,siliciclastic,1 - silt,<10micron,1 - very fine,,,,3,5.5,fertilization = 0,,
1260,SS20d,Ricardo et al. 2016,SS,larvalsurvival,KM,1,,96.1759082,4,2.294,96.176,4,2.294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,Pacific,Great Barrier Reef,Acropora,tenuis,2 - larva,"0 mg/L, >3 days, carbonate",60 hours,,0,2.5,d,2.5,,0,short,no sediment,no sediment,0 - no sediment,no sediment,no sediment,,,,3,5.5,fertilization = 0,,
